parameters:
P = 0.900000	Q = 0.100000	D_A = 0.090000	error rate = 0.010000	average coverage per site = 3	sample size = 100	# of iterations = 10000

iteration	sample P	sample Q	sample error rate	sample p	sample D_A	best_major_allele_freq	best_D_A	best_f	estimated P	estimated Q	best_error	HWE_maxll	null_maxll	maxll	pol_llstat	HWE_llstat
113	0.860000	0.140000	0.003367	0.860000	0.120400	0.850000	0.117500	0.921569	0.840000	0.140000	0.000000	-62.066914	-152.305913	-46.714254	211.183318	30.705320
114	0.930000	0.070000	0.014134	0.930000	0.065100	0.925000	0.064375	0.927928	0.920000	0.070000	0.010601	-56.158373	-90.540202	-50.440935	80.198533	11.434875
115	0.910000	0.090000	0.017986	0.910000	0.081900	0.910000	0.081900	1.000000	0.910000	0.090000	0.026978	-75.082338	-143.678987	-60.428003	166.501967	29.308670
116	0.870000	0.130000	0.009615	0.870000	0.113100	0.870000	0.113100	1.000000	0.870000	0.130000	0.014423	-77.374322	-181.025638	-56.501784	249.047707	41.745077
117	0.850000	0.150000	0.010000	0.850000	0.127500	0.840000	0.134400	1.000000	0.840000	0.160000	0.010000	-79.758360	-179.070500	-61.316494	235.508011	36.883731
118	0.860000	0.140000	0.013986	0.860000	0.120400	0.850000	0.127500	1.000000	0.850000	0.150000	0.015734	-79.058798	-150.812579	-65.057767	171.509623	28.002063
119	0.870000	0.130000	0.013378	0.870000	0.113100	0.860000	0.120400	1.000000	0.860000	0.140000	0.020067	-84.097688	-170.375926	-63.733104	213.285643	40.729166
120	0.880000	0.120000	0.007143	0.880000	0.105600	0.870000	0.113100	1.000000	0.870000	0.130000	0.010714	-69.161643	-161.652949	-50.111930	223.082039	38.099427
121	0.880000	0.120000	0.007067	0.880000	0.105600	0.880000	0.105600	1.000000	0.880000	0.120000	0.010601	-68.138723	-150.394606	-50.534774	199.719665	35.207899
122	0.920000	0.080000	0.003289	0.920000	0.073600	0.920000	0.063600	0.864130	0.910000	0.070000	0.000000	-39.339072	-88.111093	-32.109523	112.003140	14.459099
123	0.960000	0.040000	0.003333	0.960000	0.038400	0.960000	0.038400	1.000000	0.960000	0.040000	0.005000	-34.089868	-87.865278	-24.525760	126.679037	19.128218
124	0.930000	0.070000	0.003215	0.930000	0.065100	0.930000	0.065100	1.000000	0.930000	0.070000	0.004823	-45.239104	-103.644819	-32.931364	141.426911	24.615480
125	0.950000	0.050000	0.009524	0.950000	0.047500	0.955000	0.037975	0.883653	0.950000	0.040000	0.009524	-44.320561	-84.838304	-39.501882	90.672845	9.637357
126	0.920000	0.080000	0.010239	0.920000	0.073600	0.920000	0.073600	1.000000	0.920000	0.080000	0.015358	-61.998207	-129.736511	-47.706660	164.059702	28.583094
127	0.920000	0.080000	0.010381	0.920000	0.073600	0.920000	0.073600	1.000000	0.920000	0.080000	0.015571	-60.176454	-112.540161	-47.913573	129.253177	24.525762
128	0.900000	0.100000	0.013289	0.900000	0.090000	0.930000	0.065100	1.000000	0.930000	0.070000	0.014950	-59.951115	-110.080743	-50.538802	119.083883	18.824627
129	0.910000	0.090000	0.003356	0.910000	0.081900	0.900000	0.080000	0.888889	0.890000	0.090000	0.000000	-49.674952	-126.964675	-37.772003	178.385345	23.805900
130	0.890000	0.110000	0.015625	0.890000	0.097900	0.900000	0.090000	1.000000	0.900000	0.100000	0.014062	-75.679804	-135.868783	-63.272001	145.193565	24.815606
131	0.920000	0.080000	0.013289	0.920000	0.073600	0.920000	0.073600	1.000000	0.920000	0.080000	0.014950	-62.382514	-127.270205	-50.302301	153.935808	24.160427
132	0.930000	0.070000	0.000000	0.930000	0.065100	0.950000	0.047500	1.000000	0.950000	0.050000	0.000000	-25.834816	-54.727321	-19.697644	70.059354	12.274343
133	0.900000	0.100000	0.010417	0.900000	0.090000	0.895000	0.078975	0.840383	0.880000	0.090000	0.005208	-58.105722	-129.191493	-49.433593	159.515798	17.344258
134	0.890000	0.110000	0.000000	0.890000	0.097900	0.890000	0.097900	1.000000	0.890000	0.110000	0.000000	-49.960343	-125.061600	-34.418466	181.286268	31.083754
135	0.920000	0.080000	0.017857	0.920000	0.073600	0.920000	0.073600	1.000000	0.920000	0.080000	0.016071	-66.090589	-111.712296	-57.785495	107.853603	16.610188
136	0.900000	0.100000	0.003448	0.900000	0.090000	0.910000	0.081900	1.000000	0.910000	0.090000	0.005172	-49.985056	-105.621792	-37.717519	135.808545	24.535074
137	0.890000	0.110000	0.013889	0.890000	0.097900	0.885000	0.096775	0.950872	0.880000	0.110000	0.005208	-69.371706	-141.906274	-58.577552	166.657445	21.588307
138	0.880000	0.120000	0.010453	0.880000	0.105600	0.890000	0.087900	0.897855	0.880000	0.100000	0.005226	-61.867924	-135.501236	-51.446958	168.108557	20.841933
139	0.930000	0.070000	0.009524	0.930000	0.065100	0.930000	0.055100	0.846390	0.920000	0.060000	0.004762	-48.589924	-88.770266	-44.613734	88.313063	7.952379
140	0.910000	0.090000	0.005970	0.910000	0.081900	0.900000	0.080000	0.888889	0.890000	0.090000	0.000000	-46.929396	-119.984683	-36.337953	167.293461	21.182886
141	0.900000	0.100000	0.010274	0.900000	0.090000	0.920000	0.073600	1.000000	0.920000	0.080000	0.015411	-62.817266	-136.086931	-47.696447	176.780968	30.241639
142	0.920000	0.080000	0.019355	0.920000	0.073600	0.930000	0.065100	1.000000	0.930000	0.070000	0.014516	-71.871985	-128.167927	-61.237032	133.861790	21.269905
